,zip,stcountyfp,city,state,countyname,classfp
0,36091,01001,Verbena,AL,Autauga County,H1
1,36758,01001,Plantersville,AL,Autauga County,H1
2,36749,01001,Jones,AL,Autauga County,H1
3,36250,01015,Alexandria,AL,Calhoun County,H1
4,36203,01121,Oxford,AL,Talladega County,H1
5,31036,13235,Hawkinsville,GA,Pulaski County,H1
6,31071,13235,Pineview,GA,Pulaski County,H1
7,31014,13235,Cochran,GA,Pulaski County,H1
8,31091,13235,Unadilla,GA,Pulaski County,H1
9,31023,13235,Eastman,GA,Pulaski County,H1
10,30625,13237,Buckhead,GA,Putnam County,H1
11,31026,13237,Eatonton,GA,Putnam County,H1
12,31024,13237,Eatonton,GA,Putnam County,H1
13,30650,13237,Madison,GA,Putnam County,H1
14,31061,13237,Milledgeville,GA,Putnam County,H1
15,35044,01121,Childersburg,AL,Talladega County,H1
16,39854,13239,Georgetown,GA,Quitman County,H1
17,39867,13239,Morris,GA,Quitman County,H1
18,30568,13241,Rabun gap,GA,Rabun County,H1
19,30523,13241,Clarkesville,GA,Rabun County,H1
20,30537,13241,Dillard,GA,Rabun County,H1
21,30562,13241,Mountain city,GA,Rabun County,H1
22,30576,13241,Tiger,GA,Rabun County,H1
23,30581,13241,Wiley,GA,Rabun County,H1
24,30573,13241,Tallulah falls,GA,Rabun County,H1
25,30525,13241,Clayton,GA,Rabun County,H1
26,36268,01121,Munford,AL,Talladega County,H1
27,30552,13241,Lakemont,GA,Rabun County,H1
28,39840,13243,Cuthbert,GA,Randolph County,H1
29,39866,13243,Morgan,GA,Randolph County,H1
30,39867,13243,Morris,GA,Randolph County,H1
31,39846,13243,Edison,GA,Randolph County,H1
32,39886,13243,Shellman,GA,Randolph County,H1
33,39836,13243,Coleman,GA,Randolph County,H1
34,39851,13243,Fort gaines,GA,Randolph County,H1
35,30912,13245,Augusta,GA,Richmond County,H6
36,30901,13245,Augusta,GA,Richmond County,H6
37,35082,01121,Hollins,AL,Talladega County,H1
38,30909,13245,Augusta,GA,Richmond County,H6
39,30815,13245,Hephzibah,GA,Richmond County,H6
40,30906,13245,Augusta,GA,Richmond County,H6
41,30905,13245,Augusta,GA,Richmond County,H6
42,30812,13245,Gracewood,GA,Richmond County,H6
43,30805,13245,Blythe,GA,Richmond County,H6
44,30904,13245,Augusta,GA,Richmond County,H6
45,30907,13245,Augusta,GA,Richmond County,H6
46,30903,13245,Augusta,GA,Richmond County,H6
47,30916,13245,Augusta,GA,Richmond County,H6
48,36251,01123,Ashland,AL,Tallapoosa County,H1
49,30919,13245,Augusta,GA,Richmond County,H6
50,30914,13245,Augusta,GA,Richmond County,H6
51,30813,13245,Grovetown,GA,Richmond County,H6
52,30016,13247,Covington,GA,Rockdale County,H1
53,30039,13247,Snellville,GA,Rockdale County,H1
54,30013,13247,Conyers,GA,Rockdale County,H1
55,30012,13247,Conyers,GA,Rockdale County,H1
56,30294,13247,Ellenwood,GA,Rockdale County,H1
57,30058,13247,Lithonia,GA,Rockdale County,H1
58,30052,13247,Loganville,GA,Rockdale County,H1
59,36849,01123,Auburn university,AL,Tallapoosa County,H1
60,30094,13247,Conyers,GA,Rockdale County,H1
61,30252,13247,Mcdonough,GA,Rockdale County,H1
62,30281,13247,Stockbridge,GA,Rockdale County,H1
63,31711,13249,Andersonville,GA,Schley County,H1
64,31806,13249,Ellaville,GA,Schley County,H1
65,31081,13249,Rupert,GA,Schley County,H1
66,31068,13249,Oglethorpe,GA,Schley County,H1
67,31719,13249,Americus,GA,Schley County,H1
68,31803,13249,Buena vista,GA,Schley County,H1
69,31058,13249,Mauk,GA,Schley County,H1
70,35010,01123,Alexander city,AL,Tallapoosa County,H1
71,30424,13251,Dover,GA,Screven County,H1
72,30426,13251,Girard,GA,Screven County,H1
73,30442,13251,Millen,GA,Screven County,H1
74,30467,13251,Sylvania,GA,Screven County,H1
75,30455,13251,Rocky ford,GA,Screven County,H1
76,30446,13251,Newington,GA,Screven County,H1
77,30449,13251,Oliver,GA,Screven County,H1
78,39825,13253,Brinson,GA,Seminole County,H1
79,39859,13253,Iron city,GA,Seminole County,H1
80,39845,13253,Donalsonville,GA,Seminole County,H1
81,36078,01123,Tallassee,AL,Tallapoosa County,H1
82,39861,13253,Jakin,GA,Seminole County,H1
83,30223,13255,Griffin,GA,Spalding County,H1
84,30266,13255,Orchard hill,GA,Spalding County,H1
85,30284,13255,Sunny side,GA,Spalding County,H1
86,30224,13255,Griffin,GA,Spalding County,H1
87,30212,13255,Experiment,GA,Spalding County,H1
88,30228,13255,Hampton,GA,Spalding County,H1
89,30292,13255,Williamson,GA,Spalding County,H1
90,30205,13255,Brooks,GA,Spalding County,H1
91,30248,13255,Locust grove,GA,Spalding County,H1
92,35089,01123,Kellyton,AL,Tallapoosa County,H1
93,30598,13257,Toccoa falls,GA,Stephens County,H1
94,30557,13257,Martin,GA,Stephens County,H1
95,30538,13257,Eastanollee,GA,Stephens County,H1
96,30577,13257,Toccoa,GA,Stephens County,H1
97,39854,13259,Georgetown,GA,Stewart County,H1
98,31825,13259,Richland,GA,Stewart County,H1
99,31805,13259,Cusseta,GA,Stewart County,H1
100,39867,13259,Morris,GA,Stewart County,H1
101,31815,13259,Lumpkin,GA,Stewart County,H1
102,31821,13259,Omaha,GA,Stewart County,H1
103,36853,01123,Dadeville,AL,Tallapoosa County,H1
104,31711,13261,Andersonville,GA,Sumter County,H1
105,31806,13261,Ellaville,GA,Sumter County,H1
106,31787,13261,Smithville,GA,Sumter County,H1
107,31735,13261,Cobb,GA,Sumter County,H1
108,31719,13261,Americus,GA,Sumter County,H1
109,31709,13261,Americus,GA,Sumter County,H1
110,31780,13261,Plains,GA,Sumter County,H1
111,31743,13261,De soto,GA,Sumter County,H1
112,31764,13261,Leslie,GA,Sumter County,H1
113,31801,13263,Box springs,GA,Talbot County,H1
114,36204,01015,Anniston,AL,Calhoun County,H1
115,36256,01123,Daviston,AL,Tallapoosa County,H1
116,31827,13263,Talbotton,GA,Talbot County,H1
117,31816,13263,Manchester,GA,Talbot County,H1
118,31826,13263,Shiloh,GA,Talbot County,H1
119,31836,13263,Woodland,GA,Talbot County,H1
120,31812,13263,Junction city,GA,Talbot County,H1
121,31810,13263,Geneva,GA,Talbot County,H1
122,31831,13263,Waverly hall,GA,Talbot County,H1
123,30673,13265,Washington,GA,Taliaferro County,H1
124,30678,13265,White plains,GA,Taliaferro County,H1
125,30664,13265,Sharon,GA,Taliaferro County,H1
126,36850,01123,Camp hill,AL,Tallapoosa County,H1
127,30631,13265,Crawfordville,GA,Taliaferro County,H1
128,30660,13265,Rayle,GA,Taliaferro County,H1
129,30669,13265,Union point,GA,Taliaferro County,H1
130,30420,13267,Cobbtown,GA,Tattnall County,H1
131,30421,13267,Collins,GA,Tattnall County,H1
132,30436,13267,Lyons,GA,Tattnall County,H1
133,30453,13267,Reidsville,GA,Tattnall County,H1
134,30499,13267,Reidsville,GA,Tattnall County,H1
135,30417,13267,Claxton,GA,Tattnall County,H1
136,30427,13267,Glennville,GA,Tattnall County,H1
137,36879,01123,Waverly,AL,Tallapoosa County,H1
138,30438,13267,Manassas,GA,Tattnall County,H1
139,31076,13269,Reynolds,GA,Taylor County,H1
140,31081,13269,Rupert,GA,Taylor County,H1
141,31068,13269,Oglethorpe,GA,Taylor County,H1
142,31041,13269,Ideal,GA,Taylor County,H1
143,31006,13269,Butler,GA,Taylor County,H1
144,31058,13269,Mauk,GA,Taylor County,H1
145,31812,13269,Junction city,GA,Taylor County,H1
146,31039,13269,Howard,GA,Taylor County,H1
147,31037,13271,Mc rae helena,GA,Telfair County,H1
148,36255,01123,Cragford,AL,Tallapoosa County,H1
149,31055,13271,Mc rae helena,GA,Telfair County,H1
150,31060,13271,Milan,GA,Telfair County,H1
151,31549,13271,Lumber city,GA,Telfair County,H1
152,31083,13271,Scotland,GA,Telfair County,H1
153,31077,13271,Rhine,GA,Telfair County,H1
154,31544,13271,Jacksonville,GA,Telfair County,H1
155,31721,13273,Albany,GA,Terrell County,H1
156,39842,13273,Dawson,GA,Terrell County,H1
157,39862,13273,Leary,GA,Terrell County,H1
158,39826,13273,Bronwood,GA,Terrell County,H1
159,35072,01123,Goodwater,AL,Tallapoosa County,H1
160,39886,13273,Shellman,GA,Terrell County,H1
161,39877,13273,Parrott,GA,Terrell County,H1
162,39885,13273,Sasser,GA,Terrell County,H1
163,31738,13275,Coolidge,GA,Thomas County,H1
164,31720,13275,Barwick,GA,Thomas County,H1
165,31779,13275,Pelham,GA,Thomas County,H1
166,31778,13275,Pavo,GA,Thomas County,H1
167,31773,13275,Ochlocknee,GA,Thomas County,H1
168,31792,13275,Thomasville,GA,Thomas County,H1
169,31757,13275,Thomasville,GA,Thomas County,H1
170,36866,01123,Notasulga,AL,Tallapoosa County,H1
171,31765,13275,Meigs,GA,Thomas County,H1
172,39828,13275,Cairo,GA,Thomas County,H1
173,31799,13275,Thomasville,GA,Thomas County,H1
174,31626,13275,Boston,GA,Thomas County,H1
175,31733,13277,Chula,GA,Tift County,H1
176,31775,13277,Omega,GA,Tift County,H1
177,31793,13277,Tifton,GA,Tift County,H1
178,31714,13277,Ashburn,GA,Tift County,H1
179,31790,13277,Sycamore,GA,Tift County,H1
180,31637,13277,Lenox,GA,Tift County,H1
181,36276,01123,Wadley,AL,Tallapoosa County,H1
182,31795,13277,Ty ty,GA,Tift County,H1
183,31727,13277,Brookfield,GA,Tift County,H1
184,31749,13277,Enigma,GA,Tift County,H1
185,31794,13277,Tifton,GA,Tift County,H1
186,30436,13279,Lyons,GA,Toombs County,H1
187,30453,13279,Reidsville,GA,Toombs County,H1
188,30473,13279,Uvalda,GA,Toombs County,H1
189,30474,13279,Vidalia,GA,Toombs County,H1
190,30582,13281,Young harris,GA,Towns County,H1
191,30525,13281,Clayton,GA,Towns County,H1
192,36861,01123,Jacksons gap,AL,Tallapoosa County,H1
193,30546,13281,Hiawassee,GA,Towns County,H1
194,30457,13283,Soperton,GA,Treutlen County,H1
195,31002,13283,Adrian,GA,Treutlen County,H1
196,30470,13283,Tarrytown,GA,Treutlen County,H1
197,30436,13283,Lyons,GA,Treutlen County,H1
198,30474,13283,Vidalia,GA,Treutlen County,H1
199,30241,13285,Lagrange,GA,Troup County,H1
200,30217,13285,Franklin,GA,Troup County,H1
201,30261,13285,Lagrange,GA,Troup County,H1
202,30230,13285,Hogansville,GA,Troup County,H1
203,35184,01125,West blocton,AL,Tuscaloosa County,H1
