,zipcode,latitude,longitude,city,state,county,fips
0,501,40.922326,-72.637078,Holtsville,NY,Suffolk,36103.0
1,544,40.922326,-72.637078,Holtsville,NY,Suffolk,
2,601,18.165273000000003,-66.722583,Adjuntas,PR,Adjuntas,72001.0
3,601,18.165273000000003,-66.722583,Adjuntas,PR,Adjuntas,72113.0
4,602,18.393103,-67.180953,Aguada,PR,Aguada,72003.0
5,602,18.393103,-67.180953,Aguada,PR,Aguada,72005.0
6,603,18.455913,-67.14578,Aguadilla,PR,Aguadilla,72005.0
7,603,18.455913,-67.14578,Aguadilla,PR,Aguadilla,72071.0
8,603,18.455913,-67.14578,Aguadilla,PR,Aguadilla,72099.0
9,604,18.49352,-67.13588299999999,Aguadilla,PR,Aguadilla,72005.0
10,605,18.465162,-67.141486,Aguadilla,PR,Aguadilla,72005.0
11,606,18.172947,-66.94411099999999,Maricao,PR,Maricao,72093.0
12,606,18.172947,-66.94411099999999,Maricao,PR,Maricao,72153.0
13,610,18.288685,-67.139696,Anasco,PR,Anasco,72011.0
14,611,18.279531,-66.80216999999999,Angeles,PR,Utuado,72141.0
15,612,18.450674,-66.698262,Arecibo,PR,Arecibo,72013.0
16,612,18.450674,-66.698262,Arecibo,PR,Arecibo,72054.0
17,612,18.450674,-66.698262,Arecibo,PR,Arecibo,72065.0
18,612,18.450674,-66.698262,Arecibo,PR,Arecibo,72141.0
19,613,18.458092999999998,-66.732732,Arecibo,PR,Arecibo,72013.0
20,614,18.429675,-66.67450600000001,Arecibo,PR,Arecibo,72013.0
21,616,18.444792,-66.64067800000001,Bajadero,PR,Arecibo,72013.0
22,617,18.447092,-66.544255,Barceloneta,PR,Barceloneta,72017.0
23,617,18.447092,-66.544255,Barceloneta,PR,Barceloneta,72054.0
24,622,17.998531,-67.187318,Boqueron,PR,Cabo Rojo,72023.0
25,623,18.062201,-67.149541,Cabo Rojo,PR,Cabo Rojo,72023.0
26,623,18.062201,-67.149541,Cabo Rojo,PR,Cabo Rojo,72097.0
27,624,18.023535,-66.726156,Penuelas,PR,Penuelas,72059.0
28,624,18.023535,-66.726156,Penuelas,PR,Penuelas,72111.0
29,624,18.023535,-66.726156,Penuelas,PR,Penuelas,72113.0
30,627,18.477891,-66.85477,Camuy,PR,Camuy,72027.0
31,631,18.269187,-66.864993,Castaner,PR,Lares,72081.0
32,636,18.113284,-67.03970600000001,Rosario,PR,San German,
33,637,18.087322,-66.934911,Sabana Grande,PR,Sabana Grande,72121.0
34,638,18.33616,-66.472087,Ciales,PR,Ciales,72039.0
35,638,18.33616,-66.472087,Ciales,PR,Ciales,72091.0
36,638,18.33616,-66.472087,Ciales,PR,Ciales,72107.0
37,641,18.250027,-66.698957,Utuado,PR,Utuado,72113.0
38,641,18.250027,-66.698957,Utuado,PR,Utuado,72141.0
39,646,18.43606,-66.281954,Dorado,PR,Dorado,72051.0
40,646,18.43606,-66.281954,Dorado,PR,Dorado,72135.0
41,646,18.43606,-66.281954,Dorado,PR,Dorado,72137.0
42,646,18.43606,-66.281954,Dorado,PR,Dorado,72143.0
43,647,17.969594,-66.93975400000001,Ensenada,PR,Guanica,72055.0
44,647,17.969594,-66.93975400000001,Ensenada,PR,Guanica,72121.0
45,650,18.360125,-66.562311,Florida,PR,Florida,72013.0
46,650,18.360125,-66.562311,Florida,PR,Florida,72017.0
47,650,18.360125,-66.562311,Florida,PR,Florida,72054.0
48,650,18.360125,-66.562311,Florida,PR,Florida,72091.0
49,652,18.457254000000002,-66.603358,Garrochales,PR,Arecibo,72013.0
50,653,17.972468,-66.898661,Guanica,PR,Guanica,72055.0
51,653,17.972468,-66.898661,Guanica,PR,Guanica,72153.0
52,656,18.02328,-66.786909,Guayanilla,PR,Guayanilla,72059.0
53,659,18.481391000000002,-66.808696,Hatillo,PR,Hatillo,72013.0
54,659,18.481391000000002,-66.808696,Hatillo,PR,Hatillo,72065.0
55,660,18.145486,-67.135323,Hormigueros,PR,Hormigueros,72067.0
56,660,18.145486,-67.135323,Hormigueros,PR,Hormigueros,72097.0
57,662,18.480285000000002,-67.028155,Isabela,PR,Isabela,72071.0
58,662,18.480285000000002,-67.028155,Isabela,PR,Isabela,72115.0
59,664,18.217606,-66.59830600000001,Jayuya,PR,Jayuya,72073.0
60,667,18.015099,-67.055973,Lajas,PR,Lajas,72023.0
61,667,18.015099,-67.055973,Lajas,PR,Lajas,72079.0
62,669,18.295952,-66.881925,Lares,PR,Lares,72081.0
63,670,18.252135,-66.990967,Las Marias,PR,Las Marias,72083.0
64,674,18.445529999999998,-66.490268,Manati,PR,Manati,72091.0
65,674,18.445529999999998,-66.490268,Manati,PR,Manati,72101.0
66,674,18.445529999999998,-66.490268,Manati,PR,Manati,72145.0
67,676,18.383727,-67.080799,Moca,PR,Moca,72099.0
68,677,18.335781,-67.25254699999999,Rincon,PR,Rincon,72011.0
69,677,18.335781,-67.25254699999999,Rincon,PR,Rincon,72117.0
70,678,18.45303,-66.933689,Quebradillas,PR,Quebradillas,72115.0
71,680,18.219023,-67.50806800000001,Mayaguez,PR,Mayaguez,72023.0
72,680,18.219023,-67.50806800000001,Mayaguez,PR,Mayaguez,72067.0
73,680,18.219023,-67.50806800000001,Mayaguez,PR,Mayaguez,72097.0
74,681,18.219023,-67.50806800000001,Mayaguez,PR,Mayaguez,72097.0
75,682,18.219023,-67.50806800000001,Mayaguez,PR,Mayaguez,72097.0
76,683,18.113284,-67.03970600000001,San German,PR,San German,72023.0
77,683,18.113284,-67.03970600000001,San German,PR,San German,72079.0
78,683,18.113284,-67.03970600000001,San German,PR,San German,72097.0
79,683,18.113284,-67.03970600000001,San German,PR,San German,72125.0
80,685,18.3236,-66.972227,San Sebastian,PR,San Sebastian,72099.0
81,685,18.3236,-66.972227,San Sebastian,PR,San Sebastian,72131.0
82,687,18.316976,-66.415207,Morovis,PR,Morovis,72091.0
83,687,18.316976,-66.415207,Morovis,PR,Morovis,72101.0
84,687,18.316976,-66.415207,Morovis,PR,Morovis,72143.0
85,687,18.316976,-66.415207,Morovis,PR,Morovis,72145.0
86,688,18.429675,-66.67450600000001,Sabana Hoyos,PR,Arecibo,72013.0
87,690,18.476195999999998,-67.139597,San Antonio,PR,Aguadilla,72005.0
88,690,18.476195999999998,-67.139597,San Antonio,PR,Aguadilla,72071.0
89,692,18.435817999999998,-66.338523,Vega Alta,PR,Vega Alta,72051.0
90,692,18.435817999999998,-66.338523,Vega Alta,PR,Vega Alta,72101.0
91,692,18.435817999999998,-66.338523,Vega Alta,PR,Vega Alta,72135.0
92,692,18.435817999999998,-66.338523,Vega Alta,PR,Vega Alta,72143.0
93,692,18.435817999999998,-66.338523,Vega Alta,PR,Vega Alta,72145.0
94,693,18.443109,-66.398302,Vega Baja,PR,Vega Baja,72091.0
95,693,18.443109,-66.398302,Vega Baja,PR,Vega Baja,72143.0
96,693,18.443109,-66.398302,Vega Baja,PR,Vega Baja,72145.0
97,694,18.443109,-66.398302,Vega Baja,PR,Vega Baja,72145.0
98,698,18.06104,-66.861164,Yauco,PR,Yauco,72121.0
99,698,18.06104,-66.861164,Yauco,PR,Yauco,72153.0
